"Produktivitetsudviklingen efter prisenhed, type, branche og tid"

" ";" ";" ";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Årlig vækstrate i pct."
" ";"Arbejdsproduktivitet"
" ";" ";"47000 Detailhandel";-0.01;0.03;-0.31;0.24;-0.73;0.21;0.25;-0.34;0.15;0.04;0.08;0.06;-0.13
" ";" ";"49000 Landtransport";0.47;0.41;0.40;-0.38;-0.53;0.72;-0.39;-0.20;0.72;1.00;1.45;1.15;0.54
" ";" ";"50000 Skibsfart";1.66;2.05;-2.86;7.59;0.73;3.17;0.07;-8.19;-2.65;-1.00;4.06;-8.29;-0.20
" ";" ";"51000 Luftfart";5.86;22.84;-4.02;8.60;4.14;2.05;-12.68;0.03;-1.90;4.65;1.63;-0.31;-2.31
" ";" ";"52000 Hjælpevirksomhed til transport";0.00;-0.65;0.85;-2.63;-2.31;2.89;1.31;-3.02;0.69;-1.72;-1.02;1.00;-2.37
" ";" ";"53000 Post og kurertjeneste";-0.67;0.10;-1.95;-0.27;0.11;0.24;0.09;-0.07;0.13;-0.10;-0.15;-0.06;0.01
" ";" ";"55560 Hoteller og restauranter";0.42;-0.93;-0.41;-0.34;-0.75;0.74;-0.12;-0.97;-0.09;-0.66;-0.18;-0.64;-1.07
" ";" ";"58000 Udgivervirksomhed";2.07;0.29;-0.36;1.06;1.95;1.03;-0.13;-0.36;-0.05;-0.78;-0.84;-1.29;-0.32
" ";" ";"59600 Radio- og tv-stationer samt produktion af film, tv, mus";1.02;1.44;-0.63;13.16;2.77;1.83;-0.16;-1.65;0.49;-1.53;-1.15;-0.39;-0.98
" ";" ";"61000 Telekommunikation";1.17;4.19;1.80;2.98;1.44;3.15;0.22;0.71;2.67;1.40;3.49;0.49;-0.27
" ";" ";"62630 It- og informationstjenester";0.20;0.28;-0.04;0.02;-0.07;0.09;0.06;0.07;-0.20;-0.20;-0.38;-0.33;-0.25
" ";" ";"64000 Finansiel virksomhed";-1.26;-0.43;-0.50;-0.24;1.43;-0.17;2.27;7.73;3.94;2.04;2.26;3.69;6.67
" ";" ";"65000 Forsikring og pension";0.25;-0.64;0.30;0.66;-0.79;-0.56;0.51;0.30;1.06;-0.08;0.01;-0.33;-0.09
" ";" ";"66000 Finansiel service";4.61;-1.58;-4.52;0.50;-2.43;-0.79;0.36;-0.16;-0.76;-1.02;-2.05;-1.40;-0.68
" ";" ";"68100 Ejendomsmæglere mv.";-0.07;-0.13;1.13;4.14;1.15;0.24;0.10;-1.46;0.55;0.03;-0.51;-1.08;-1.13
" ";" ";"68300 Udlejning af erhvervsejendomme";-5.35;-4.37;-9.11;-7.23;-3.38;6.12;-14.88;-4.61;-3.04;-4.65;2.58;0.47;-0.03
" ";" ";"68203 Boliger, husleje i lejeboliger";10.08;7.77;-8.13;4.46;1.28;-2.58;-2.93;0.09;-0.86;-1.13;0.49;-1.56;-1.24
" ";" ";"68204 Boliger, ejerboliger mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"69700 Advokater, revisorer og virksomhedskonsulenter";0.14;-0.01;0.47;0.74;-0.02;-0.57;-0.30;-0.18;-0.05;-0.34;0.04;-0.27;-0.56
" ";" ";"71000 Arkitekter og rådgivende ingeniører";-0.01;-0.17;-0.48;-0.46;-0.38;0.58;-0.36;-0.67;-0.55;-0.21;-0.13;-0.37;-0.63
" ";" ";"72001 Forskning og udvikling, markedsmæssig";0.07;-0.58;0.17;2.27;0.85;10.94;9.33;1.56;-0.89;-1.84;-1.16;-0.31;0.78
" ";" ";"72002 Forskning og udvikling, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"73000 Reklame- og analysebureauer";-0.15;-0.05;0.08;-0.41;-0.33;1.05;0.63;-0.52;-0.20;-0.20;-0.11;-0.55;-0.38
" ";" ";"74750 Dyrlæger og anden videnservice";0.85;0.93;-1.11;-0.48;-0.54;-1.02;-0.72;-0.60;-0.26;-0.16;-0.36;-0.06;-0.09
" ";" ";"77000 Udlejning og leasing af materiel";7.28;5.89;3.57;2.90;0.09;2.35;1.33;0.22;1.79;1.11;4.63;6.82;5.36
" ";" ";"78000 Arbejdsformidling og vikarbureauer";-0.38;-0.14;-1.04;-0.55;-0.20;2.28;-0.43;-1.02;-0.62;-0.95;-0.75;-0.20;-0.25
" ";" ";"79000 Rejsebureauer";-0.33;-3.02;-0.34;1.40;-1.31;0.50;-0.13;-0.65;-0.49;-0.57;-0.36;-0.58;-1.13
" ";" ";"80820 Rengøring og anden operationel service";0.08;0.22;0.12;0.32;-0.29;-0.01;0.10;0.08;-0.07;-0.14;-0.09;-0.20;-0.47
" ";" ";"84202 Offentlig administration mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"84101 Redningskorps mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85202 Undervisning, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85101 Voksenundervisning mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"86000 Sundhedsvæsen";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"87880 Sociale institutioner";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"90920 Kunst, kultur og spil";-0.83;-0.33;-0.20;-2.43;-3.48;-0.40;-2.77;-1.56;-0.05;-0.81;-3.55;-2.73;-2.50
" ";" ";"93000 Sport, forlystelsesparker og andre fritidsaktiviteter";-0.69;-0.08;0.04;-0.78;-1.56;-0.62;-0.50;-0.13;-0.11;-0.53;-1.52;-0.48;-0.15
" ";" ";"94000 Organisationer og foreninger";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"95000 Reparation af husholdningsudstyr";-0.43;0.52;0.10;0.76;-0.27;-0.04;-0.02;1.06;2.25;0.80;0.12;0.39;0.03
" ";" ";"96000 Frisører, vaskerier og andre serviceydelser";0.52;0.60;1.14;-0.08;-1.36;-0.92;-0.52;-0.44;-0.17;-0.50;-0.26;-0.13;-0.06
" ";" ";"97000 Private husholdninger med ansat medhjælp";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"Markedsmæssig økonomi i alt";0.65;0.48;-0.15;0.34;0.10;2.72;0.91;-0.77;0.71;0.11;0.06;-0.03;-0.46
" ";"Uddannelsesniveau"
" ";" ";"01000 Landbrug og gartneri";-1.94;-0.21;-0.28;0.62;-0.02;0.27;0.71;0.08;0.14;-0.24;0.17;0.13;0.19
" ";" ";"02000 Skovbrug";0.32;1.01;1.02;-0.17;0.39;0.56;0.18;0.26;-0.05;0.34;-0.09;0.30;-0.15
" ";" ";"03000 Fiskeri";1.00;0.21;-0.22;0.92;0.17;0.10;-0.07;0.14;0.12;0.43;-0.02;0.17;0.07
" ";" ";"06090 Råstofindvinding";0.04;-0.05;0.04;0.18;0.36;0.02;0.07;0.04;0.24;-0.01;0.01;0.17;0.39
" ";" ";"10120 Føde-, drikke- og tobaksvareindustri";0.12;0.59;-0.11;-0.27;0.13;0.34;0.29;0.01;0.10;0.28;0.36;0.35;0.25
" ";" ";"13150 Tekstil- og læderindustri";0.43;0.18;0.24;-0.14;0.23;0.47;0.26;0.19;0.43;0.21;0.18;0.17;0.16
" ";" ";"16000 Træindustri";0.25;0.09;0.15;0.33;0.19;0.24;-0.07;0.01;0.04;0.26;0.00;0.04;0.04
" ";" ";"17000 Papirindustri";0.12;0.08;0.24;0.01;0.18;0.32;0.08;0.15;0.02;0.00;0.08;0.04;0.30
" ";" ";"18000 Trykkerier mv.";0.08;-0.01;0.09;-0.14;0.05;0.16;0.18;0.09;0.04;0.04;0.36;-0.18;0.12
" ";" ";"19000 Olieraffinaderier mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"20000 Kemisk industri";0.32;-0.31;0.83;0.10;0.30;0.52;0.32;0.39;0.43;0.26;0.21;0.03;0.03
" ";" ";"21000 Medicinalindustri";0.23;-0.16;0.57;0.09;0.22;0.00;0.34;0.31;0.09;0.28;0.02;0.00;0.21
" ";" ";"22000 Plast- og gummiindustri";0.28;0.28;0.60;0.07;0.31;0.54;-1.20;0.06;0.39;0.22;-0.10;0.09;0.12
" ";" ";"23000 Glas- og betonindustri";0.05;0.13;0.04;0.03;0.07;0.48;-0.20;-0.21;0.12;0.25;0.09;0.04;0.14
" ";" ";"24000 Fremst. af metal";0.01;-0.10;0.18;-0.09;0.02;0.48;-0.14;0.02;0.22;0.13;-0.23;0.09;0.05
" ";" ";"25000 Metalvareindustri";-0.01;-0.10;0.11;-0.11;0.00;0.51;0.11;0.02;0.17;0.11;0.08;0.15;0.15
" ";" ";"26000 Elektronikindustri";-0.08;0.17;0.09;0.43;0.20;0.74;0.01;0.13;0.31;0.68;0.16;0.46;0.37
" ";" ";"27000 Fremst. af elektrisk udstyr";-0.14;0.17;0.06;0.38;0.17;0.97;0.29;0.43;0.71;-0.02;0.18;0.26;0.10
" ";" ";"28000 Maskinindustri";-0.24;0.15;0.24;0.13;0.10;1.11;0.10;0.51;0.14;0.01;0.07;-0.10;0.03
" ";" ";"29000 Fremst. af motorkøretøjer og dele hertil";0.13;-0.65;0.43;-0.07;0.01;0.89;-0.03;-0.06;0.69;-0.08;0.07;-0.01;0.25
" ";" ";"30000 Fremst. af skibe og andre transportmidler";0.30;-0.88;0.44;0.06;0.02;-0.03;0.23;1.01;0.44;0.41;0.13;0.12;0.29
" ";" ";"31320 Møbel- og anden industri";0.06;0.23;0.15;0.25;0.21;0.56;0.16;0.39;0.29;0.35;0.26;0.31;0.53
" ";" ";"33000 Reparation og installation af maskiner og udstyr";-0.19;-0.11;0.03;-0.13;-0.01;0.15;0.11;0.27;0.20;0.03;0.17;-0.13;0.06
" ";" ";"35000 Energiforsyning";0.13;0.02;0.23;-0.04;0.21;0.18;0.28;-0.09;0.09;0.87;0.16;0.25;0.17
" ";" ";"36000 Vandforsyning";0.14;0.00;0.17;0.00;0.07;-0.03;-0.01;0.22;0.27;-0.05;-0.01;0.04;0.04
" ";" ";"37390 Renovation, affaldsbehandling mv.";0.09;-0.13;0.23;0.02;0.07;0.14;0.12;0.13;0.04;-0.04;0.00;0.03;0.13
" ";" ";"41430 Bygge og anlæg";0.10;-0.38;0.07;-0.02;0.00;0.49;0.59;0.19;0.26;-0.07;0.22;0.28;0.12
" ";" ";"45000 Bilhandel og -værksteder mv.";0.08;-0.17;-0.40;-0.08;0.04;0.35;0.46;0.13;0.18;0.02;0.31;0.27;0.18
" ";" ";"46000 Engroshandel";0.19;-0.08;0.03;0.12;0.10;0.23;0.27;0.28;0.26;0.35;0.10;0.20;0.20
" ";" ";"47000 Detailhandel";0.40;-0.29;-0.15;-0.49;-0.06;0.30;0.33;0.04;0.54;-0.17;0.20;0.25;0.25
" ";" ";"49000 Landtransport";-0.02;-0.02;0.00;0.01;0.01;0.12;0.12;0.03;0.03;0.05;0.09;0.07;0.06
" ";" ";"50000 Skibsfart";0.39;0.02;-0.01;0.41;0.03;0.19;0.80;0.04;-0.31;-0.08;0.42;-0.10;0.15
" ";" ";"51000 Luftfart";0.92;0.17;-0.02;0.47;0.27;-0.03;-0.25;-0.10;-0.05;0.17;-0.13;0.11;0.10
" ";" ";"52000 Hjælpevirksomhed til transport";-0.17;-0.01;-0.01;0.04;-0.04;0.13;0.39;0.10;0.03;-0.04;0.12;0.03;0.34
" ";" ";"53000 Post og kurertjeneste";0.08;0.01;-0.04;0.02;0.04;0.16;0.08;0.09;0.14;0.07;-0.08;0.11;0.14
" ";" ";"55560 Hoteller og restauranter";-0.09;0.36;-0.01;0.00;0.02;0.28;0.22;0.14;0.17;0.03;0.19;0.10;0.07
" ";" ";"58000 Udgivervirksomhed";0.40;0.26;0.59;0.26;0.40;0.14;0.30;0.30;0.16;0.09;0.29;0.17;0.34
" ";" ";"59600 Radio- og tv-stationer samt produktion af film, tv, mus";-0.05;-0.06;-0.03;0.01;0.03;0.13;0.19;0.37;0.19;0.12;0.20;0.05;0.06
" ";" ";"61000 Telekommunikation";0.23;0.07;0.10;-0.04;0.11;0.33;0.15;0.27;0.10;0.15;0.12;0.19;0.12
" ";" ";"62630 It- og informationstjenester";0.10;-0.04;0.47;-0.03;0.12;0.01;0.06;0.03;-0.01;0.11;0.13;0.20;0.19
" ";" ";"64000 Finansiel virksomhed";0.28;0.20;1.25;-0.61;0.06;0.23;0.56;0.34;0.39;0.40;0.12;0.17;0.47
" ";" ";"65000 Forsikring og pension";0.27;0.58;0.45;-0.04;0.33;0.28;0.12;0.34;0.27;0.15;0.17;0.62;0.21
" ";" ";"66000 Finansiel service";0.35;0.17;1.26;-0.79;0.24;0.07;0.18;0.28;0.05;0.09;0.07;0.24;0.40
" ";" ";"68100 Ejendomsmæglere mv.";0.50;0.31;1.03;0.63;0.54;-0.53;0.25;0.11;0.44;0.24;0.14;0.32;0.40
" ";" ";"68300 Udlejning af erhvervsejendomme";0.05;0.01;0.10;0.22;0.11;0.12;-0.14;-0.01;-0.01;0.10;0.04;-0.04;0.06
" ";" ";"68203 Boliger, husleje i lejeboliger";0.04;0.01;0.10;0.07;0.05;-0.03;0.06;0.04;0.03;0.07;0.03;0.03;0.03
" ";" ";"68204 Boliger, ejerboliger mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"69700 Advokater, revisorer og virksomhedskonsulenter";0.18;0.13;0.45;0.80;0.44;-0.65;0.28;-0.16;0.54;-0.09;0.30;0.50;0.53
" ";" ";"71000 Arkitekter og rådgivende ingeniører";-0.04;0.08;0.25;0.56;0.17;0.19;0.23;0.38;0.11;0.04;0.23;0.20;0.18
" ";" ";"72001 Forskning og udvikling, markedsmæssig";0.42;0.17;0.36;0.07;0.24;0.23;0.06;0.48;0.16;0.25;0.35;0.35;0.21
" ";" ";"72002 Forskning og udvikling, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"73000 Reklame- og analysebureauer";0.12;0.07;0.18;0.53;0.19;0.54;0.58;0.50;0.14;0.44;0.25;0.23;0.32
" ";" ";"74750 Dyrlæger og anden videnservice";0.25;0.18;0.17;0.24;0.26;-0.07;0.23;0.29;0.66;-0.34;0.18;0.48;0.10
" ";" ";"77000 Udlejning og leasing af materiel";-0.18;-0.02;-0.29;-0.14;-0.10;0.17;0.41;0.02;0.00;0.21;0.13;0.13;0.18
" ";" ";"78000 Arbejdsformidling og vikarbureauer";0.01;0.03;0.11;0.53;0.12;0.45;0.15;-0.06;0.00;-0.06;-0.02;0.18;0.04
" ";" ";"79000 Rejsebureauer";0.00;0.02;-0.01;0.06;0.01;0.29;0.28;0.05;0.10;0.35;0.23;0.15;0.19
" ";" ";"80820 Rengøring og anden operationel service";0.07;-0.07;0.06;0.28;0.07;0.25;0.46;0.37;0.82;0.17;0.00;0.36;0.23
" ";" ";"84202 Offentlig administration mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"84101 Redningskorps mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85202 Undervisning, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85101 Voksenundervisning mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"86000 Sundhedsvæsen";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"87880 Sociale institutioner";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"90920 Kunst, kultur og spil";0.03;0.06;0.04;0.00;0.04;0.06;0.18;0.08;0.19;-0.01;0.08;0.02;0.09
" ";" ";"93000 Sport, forlystelsesparker og andre fritidsaktiviteter";0.13;0.12;0.07;-0.07;0.10;0.15;0.09;0.27;0.29;0.15;0.08;0.29;0.22
" ";" ";"94000 Organisationer og foreninger";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"95000 Reparation af husholdningsudstyr";0.02;0.04;0.13;-0.31;-0.08;0.09;0.44;0.38;0.27;0.16;-0.31;0.25;0.16
" ";" ";"96000 Frisører, vaskerier og andre serviceydelser";0.34;0.23;-0.04;-1.40;-0.05;0.15;1.26;0.30;0.42;-0.41;0.23;0.29;0.26
" ";" ";"97000 Private husholdninger med ansat medhjælp";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"Markedsmæssig økonomi i alt";0.13;0.09;0.26;0.11;0.25;0.43;0.35;0.15;0.29;0.19;0.18;0.26;0.27
" ";"Totalfaktorproduktivitet"
" ";" ";"01000 Landbrug og gartneri";4.33;-5.77;8.01;13.14;-28.62;1.03;37.03;-9.63;13.70;-4.91;20.21;-14.38;-11.07
" ";" ";"02000 Skovbrug";20.33;-11.92;9.93;-43.54;-2.67;17.32;9.13;7.14;7.59;6.82;-11.25;-4.41;-13.31
" ";" ";"03000 Fiskeri";6.69;56.01;18.70;-23.90;18.61;4.64;16.16;-19.38;14.68;0.27;1.47;8.27;-18.42
" ";" ";"06090 Råstofindvinding";13.90;-1.40;-9.16;-13.08;-15.04;-12.09;-1.97;-9.70;-11.67;-17.23;-9.89;-15.16;0.20
" ";" ";"10120 Føde-, drikke- og tobaksvareindustri";5.31;-0.75;-3.75;0.05;-6.03;3.02;2.95;1.68;0.52;3.68;1.47;-5.42;6.32
" ";" ";"13150 Tekstil- og læderindustri";4.08;-10.40;17.90;3.52;0.03;-2.59;6.31;-3.04;0.53;13.60;-0.73;5.42;-6.56
" ";" ";"16000 Træindustri";9.97;4.05;3.77;-1.08;-11.71;-14.32;9.21;0.90;1.34;0.34;5.31;-0.82;-7.12
" ";" ";"17000 Papirindustri";-2.20;-3.83;11.11;0.32;6.40;-8.88;11.83;6.70;-16.50;2.85;10.87;9.12;-14.03
" ";" ";"18000 Trykkerier mv.";16.80;1.55;5.25;-0.12;9.58;-3.96;-7.10;10.97;-4.69;4.53;5.13;-18.48;-8.60
" ";" ";"19000 Olieraffinaderier mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"20000 Kemisk industri";0.75;3.99;2.43;-4.03;19.16;8.22;7.34;0.91;23.78;-9.47;7.33;6.80;0.89
" ";" ";"21000 Medicinalindustri";-9.85;3.20;-5.70;-5.79;-0.03;-3.20;17.71;5.55;16.22;-0.81;-5.69;-5.86;2.50
" ";" ";"22000 Plast- og gummiindustri";2.35;2.33;9.29;5.94;-17.89;-10.21;6.22;-21.57;10.48;-4.45;29.24;0.72;-8.09
" ";" ";"23000 Glas- og betonindustri";3.00;10.39;5.43;-3.81;-2.00;-16.72;3.72;11.01;-1.14;0.80;4.90;-3.12;6.38
" ";" ";"24000 Fremst. af metal";10.13;-15.03;12.38;-2.24;-0.32;-20.09;-3.92;13.30;-9.91;7.36;7.13;24.11;-4.29
" ";" ";"25000 Metalvareindustri";-0.42;-5.66;8.55;-9.55;3.02;-5.57;-1.31;-9.28;5.82;11.02;1.73;-3.46;-2.27
" ";" ";"26000 Elektronikindustri";-4.93;-3.87;15.78;5.59;-12.48;-2.48;16.09;2.74;1.97;3.40;0.67;-0.34;0.86
" ";" ";"27000 Fremst. af elektrisk udstyr";14.50;-3.69;-11.27;3.12;11.22;-18.45;14.67;5.85;-5.34;-8.52;10.94;10.55;-0.68
" ";" ";"28000 Maskinindustri";8.14;-6.45;16.12;8.92;-2.76;-11.16;5.64;8.34;-2.36;13.35;-4.93;-12.55;10.97
" ";" ";"29000 Fremst. af motorkøretøjer og dele hertil";4.88;11.46;17.25;-8.86;11.84;-23.31;33.19;11.82;-7.79;-9.35;20.02;10.74;6.57
" ";" ";"30000 Fremst. af skibe og andre transportmidler";-36.57;-18.75;1.21;-33.49;-24.37;37.59;30.18;10.78;-18.23;-3.55;-16.34;-6.13;7.41
" ";" ";"31320 Møbel- og anden industri";11.77;5.38;7.06;-2.11;6.29;3.98;16.30;1.44;-0.80;1.44;-0.50;-8.01;-1.30
" ";" ";"33000 Reparation og installation af maskiner og udstyr";4.18;2.30;19.33;5.86;22.37;-13.50;-0.51;4.74;16.53;-4.11;-26.12;33.13;-1.08
" ";" ";"35000 Energiforsyning";0.36;-0.03;2.26;-9.38;-1.10;-11.02;12.90;-2.53;1.82;-11.22;-4.91;12.83;0.07
" ";" ";"36000 Vandforsyning";6.87;-8.28;-28.15;9.29;-8.55;-19.99;38.35;-3.32;8.69;14.20;5.42;-10.52;-8.12
" ";" ";"37390 Renovation, affaldsbehandling mv.";-3.90;-6.15;10.30;-9.85;7.94;-4.86;5.40;-0.44;-8.73;-6.04;-3.25;3.13;-3.65
" ";" ";"41430 Bygge og anlæg";-0.41;-3.44;3.14;-4.03;5.97;-0.89;-6.80;1.44;4.29;3.81;0.67;7.90;5.44
" ";" ";"45000 Bilhandel og -værksteder mv.";4.86;1.68;-8.75;2.47;0.47;-12.26;12.58;5.77;3.79;5.81;0.09;1.76;8.28
" ";" ";"46000 Engroshandel";-0.69;4.21;10.47;-4.23;-3.17;-3.23;8.48;-1.76;-4.03;-1.76;3.56;6.45;-1.86
" ";" ";"47000 Detailhandel";3.12;8.05;4.45;3.91;-12.18;11.16;5.19;-5.05;5.79;2.97;7.59;1.10;1.92
" ";" ";"49000 Landtransport";-0.41;-3.33;-1.79;-6.88;-1.76;-6.96;2.03;4.00;3.66;-1.63;-7.32;-5.75;-9.97
" ";" ";"50000 Skibsfart";-0.46;1.03;-6.08;12.87;-19.38;-30.24;36.37;12.23;0.00;37.56;-6.54;2.78;16.90
" ";" ";"51000 Luftfart";-3.80;-4.78;138.54;23.91;-50.94;40.78;8.40;195.22;33.36;15.84;14.02;-31.60;16.77
" ";" ";"52000 Hjælpevirksomhed til transport";-0.85;-6.83;3.38;7.91;-15.69;-2.30;4.30;3.29;-3.98;9.26;-10.57;-4.71;-5.32
" ";" ";"53000 Post og kurertjeneste";-4.66;1.77;-14.41;-1.99;-13.42;-2.34;1.57;-9.81;-3.85;0.17;1.00;-8.72;-19.67
" ";" ";"55560 Hoteller og restauranter";-1.91;-5.70;4.03;0.47;-2.56;-1.17;-1.91;5.48;-1.11;-1.69;-2.04;-3.19;1.30
" ";" ";"58000 Udgivervirksomhed";5.08;16.11;-9.96;5.56;2.47;-9.37;3.20;1.40;-7.40;6.71;10.93;6.81;-4.53
" ";" ";"59600 Radio- og tv-stationer samt produktion af film, tv, mus";-10.34;23.78;4.60;-17.00;30.66;-1.57;10.17;0.72;17.82;8.22;7.29;5.14;1.91
" ";" ";"61000 Telekommunikation";3.96;1.93;4.70;27.39;24.66;5.43;3.62;31.33;9.12;15.79;-4.63;22.21;26.53
" ";" ";"62630 It- og informationstjenester";9.98;-6.16;4.70;1.72;1.03;7.39;3.84;-7.64;0.58;8.13;0.51;3.27;3.77
" ";" ";"64000 Finansiel virksomhed";10.87;18.50;9.81;8.03;9.81;-12.95;-2.77;-13.55;-0.77;1.75;0.15;-9.99;-3.53
" ";" ";"65000 Forsikring og pension";2.57;3.21;-5.45;-1.95;-9.39;-2.73;5.98;-1.58;-1.94;-6.91;6.24;0.31;4.14
" ";" ";"66000 Finansiel service";10.06;-2.89;4.80;12.32;-0.10;-6.92;5.15;3.40;-5.78;-1.63;-7.72;-4.59;-7.19
" ";" ";"68100 Ejendomsmæglere mv.";-2.81;-5.53;-65.79;-26.66;-47.08;120.22;10.11;-24.78;5.18;-8.46;12.78;14.59;-18.96
" ";" ";"68300 Udlejning af erhvervsejendomme";-2.69;2.60;3.75;0.77;-9.01;0.71;-1.03;3.72;7.40;1.39;4.17;6.17;1.14
" ";" ";"68203 Boliger, husleje i lejeboliger";1.25;0.61;-4.33;-0.89;0.90;1.48;-1.99;-0.66;-1.22;-0.77;2.37;2.98;-0.86
" ";" ";"68204 Boliger, ejerboliger mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"69700 Advokater, revisorer og virksomhedskonsulenter";14.93;0.94;-6.40;-11.25;0.52;-5.85;6.61;5.76;-0.24;3.29;-1.06;2.38;-2.93
" ";" ";"71000 Arkitekter og rådgivende ingeniører";0.65;1.16;2.24;-9.71;-12.82;0.98;-3.65;-2.93;-6.88;1.68;4.27;3.51;-1.56
" ";" ";"72001 Forskning og udvikling, markedsmæssig";-28.97;8.35;-1.40;-0.98;159.95;-5.76;-19.12;-38.77;-20.55;22.81;24.50;5.71;113.49
" ";" ";"72002 Forskning og udvikling, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"73000 Reklame- og analysebureauer";-5.52;6.30;15.60;-11.20;8.11;-10.82;0.97;4.90;-2.55;-7.77;6.92;-1.98;5.40
" ";" ";"74750 Dyrlæger og anden videnservice";3.48;8.30;-3.56;-27.30;4.11;-8.44;-6.50;-0.86;-5.45;4.21;-2.70;3.48;-4.45
" ";" ";"77000 Udlejning og leasing af materiel";1.44;-3.98;-1.95;0.09;0.39;-2.48;2.20;23.47;21.74;-1.85;5.40;-6.01;-13.61
" ";" ";"78000 Arbejdsformidling og vikarbureauer";-0.84;11.28;0.96;2.65;4.51;-4.52;-4.91;0.82;3.82;4.09;3.10;-0.72;-4.54
" ";" ";"79000 Rejsebureauer";11.63;12.70;-36.20;4.60;0.22;-41.21;-5.92;21.70;17.83;-20.90;-11.79;16.28;-20.83
" ";" ";"80820 Rengøring og anden operationel service";1.80;6.59;-7.80;-1.61;-13.08;0.48;-3.15;0.40;-0.26;1.21;-7.41;5.04;-1.85
" ";" ";"84202 Offentlig administration mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"84101 Redningskorps mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85202 Undervisning, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85101 Voksenundervisning mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"86000 Sundhedsvæsen";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"87880 Sociale institutioner";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"90920 Kunst, kultur og spil";7.80;13.57;-13.35;-3.24;12.85;-2.14;-0.11;-2.22;9.37;1.92;0.51;2.92;0.19
" ";" ";"93000 Sport, forlystelsesparker og andre fritidsaktiviteter";-12.37;-38.90;22.31;2.63;12.58;-1.85;-13.86;14.84;8.70;4.48;-2.27;0.60;6.24
" ";" ";"94000 Organisationer og foreninger";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"95000 Reparation af husholdningsudstyr";1.04;6.83;11.74;-8.91;-17.13;52.35;-3.07;-1.80;-0.51;-9.67;1.99;-7.04;2.71
" ";" ";"96000 Frisører, vaskerier og andre serviceydelser";-1.95;-1.57;8.06;-2.70;3.45;-1.08;-2.85;-2.02;1.66;-2.41;-3.03;0.64;-0.68
" ";" ";"97000 Private husholdninger med ansat medhjælp";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"Markedsmæssig økonomi i alt";2.00;0.60;1.48;-1.19;-2.07;-3.13;3.20;0.55;0.86;0.64;0.58;0.52;1.14

"Beregningerne er baseret på tal for den markedsmæssige økonomi, dvs. "
"hele økonomien eksklusive sektorerne offentlig forvaltning og service "
"(S.13) og NPISH (S.15). Vækstraterne for arbejdsproduktivitet (AP) er "
"baseret på real bruttoværditilvækst (BVT) pr. time. AP er "
"approksimativt lig summen af de fire bidrag, som er "
"totalfaktorproduktivitet, uddannelsesniveau og to typer af kapital. "
"For yderligere information se statistikdokumentationen. "

