"Produktivitetsudviklingen efter prisenhed, type, branche og tid"

" ";" ";" ";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016"
"Årlig vækstrate i pct."
" ";"Arbejdsproduktivitet"
" ";" ";"37390 Renovation, affaldsbehandling mv.";-3.94;-7.72;15.17;-9.20;5.71;-1.95;9.42;-0.77;-6.64;-3.13;-6.02;1.10;-1.76
" ";" ";"41430 Bygge og anlæg";-0.66;-3.87;3.35;-3.46;6.83;2.29;-5.42;1.32;4.43;3.77;0.84;7.90;5.03
" ";" ";"45000 Bilhandel og -værksteder mv.";5.32;1.47;-9.28;2.31;0.28;-11.24;13.13;5.27;4.66;6.21;0.50;2.64;8.42
" ";" ";"46000 Engroshandel";-0.26;4.87;11.12;-4.63;-3.93;-0.93;9.44;-2.86;-3.63;-2.13;3.51;6.46;-3.34
" ";" ";"47000 Detailhandel";3.55;7.82;3.92;3.74;-13.03;11.75;5.83;-5.33;6.62;2.88;7.95;1.48;2.15
" ";" ";"49000 Landtransport";-0.08;-3.01;-1.43;-7.25;-2.27;-6.12;1.75;3.83;4.45;-0.58;-5.83;-4.52;-9.37
" ";" ";"50000 Skibsfart";1.58;3.60;-8.28;22.32;-18.91;-28.10;37.56;2.94;-3.07;35.99;-2.25;-5.93;17.02
" ";" ";"51000 Luftfart";3.31;19.63;127.45;34.61;-48.74;43.77;-5.82;195.04;31.09;22.39;15.92;-31.71;13.96
" ";" ";"52000 Hjælpevirksomhed til transport";-1.01;-7.43;4.50;4.93;-17.76;0.92;6.36;0.56;-2.58;7.96;-10.84;-3.57;-7.40
" ";" ";"53000 Post og kurertjeneste";-5.17;2.27;-16.49;-2.04;-12.81;-1.68;1.82;-9.79;-3.47;0.05;0.70;-8.70;-19.54
" ";" ";"55560 Hoteller og restauranter";-1.54;-6.34;3.61;0.19;-3.32;-0.04;-1.81;4.58;-0.98;-2.35;-1.96;-3.71;0.24
" ";" ";"58000 Udgivervirksomhed";9.07;17.44;-9.71;8.27;6.33;-6.61;4.18;1.42;-7.36;5.52;10.84;6.86;-2.78
" ";" ";"59600 Radio- og tv-stationer samt produktion af film, tv, mus";-9.42;25.78;4.07;-5.11;34.55;0.74;10.28;-0.63;18.85;6.72;6.56;5.03;1.08
" ";" ";"61000 Telekommunikation";7.51;9.55;8.09;32.16;26.23;8.69;4.49;32.21;11.66;17.44;-0.91;22.84;26.21
" ";" ";"62630 It- og informationstjenester";11.19;-5.25;5.05;1.67;0.82;7.61;4.70;-6.90;0.22;8.07;0.54;3.27;3.74
" ";" ";"64000 Finansiel virksomhed";10.10;19.69;10.11;8.04;13.04;-12.36;2.86;-6.73;4.30;5.22;2.99;-6.73;4.40
" ";" ";"65000 Forsikring og pension";2.97;3.62;-4.50;-1.49;-10.40;-2.72;7.88;-0.33;0.41;-6.69;6.68;0.63;4.52
" ";" ";"66000 Finansiel service";20.61;-4.32;-1.46;16.62;-0.50;-6.30;8.61;5.37;-5.48;-2.94;-11.07;-6.89;-7.03
" ";" ";"68100 Ejendomsmæglere mv.";-2.62;-5.62;-64.59;-19.84;-45.80;119.79;11.21;-25.41;5.91;-8.84;13.71;15.26;-18.87
" ";" ";"68300 Udlejning af erhvervsejendomme";-7.87;-1.62;-5.74;-6.54;-11.88;7.71;-16.15;-0.95;4.33;-3.16;7.32;7.15;1.46
" ";" ";"68203 Boliger, husleje i lejeboliger";12.10;8.92;-12.06;3.68;2.28;-0.99;-4.87;-0.54;-2.06;-1.85;2.92;1.40;-2.05
" ";" ";"68204 Boliger, ejerboliger mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"69700 Advokater, revisorer og virksomhedskonsulenter";15.38;1.06;-5.11;-9.33;1.11;-6.94;6.64;5.92;1.03;3.25;-0.25;2.67;-3.02
" ";" ";"71000 Arkitekter og rådgivende ingeniører";0.53;1.07;1.91;-9.79;-13.26;1.91;-3.69;-3.01;-7.09;1.54;4.42;3.33;-1.98
" ";" ";"72001 Forskning og udvikling, markedsmæssig";-29.04;7.40;-0.92;1.68;163.38;6.07;-10.67;-36.81;-20.72;20.66;23.45;5.75;115.64
" ";" ";"72002 Forskning og udvikling, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"73000 Reklame- og analysebureauer";-5.85;5.82;15.54;-11.48;7.83;-9.08;2.39;4.72;-2.49;-7.54;7.21;-1.96;5.67
" ";" ";"74750 Dyrlæger og anden videnservice";5.28;9.90;-5.04;-27.75;3.52;-9.70;-6.98;-0.96;-4.80;3.73;-2.91;3.90;-4.39
" ";" ";"77000 Udlejning og leasing af materiel";8.47;1.90;1.76;2.73;-0.07;-0.14;3.77;24.05;24.59;-0.74;10.30;0.57;-8.92
" ";" ";"78000 Arbejdsformidling og vikarbureauer";-1.39;11.13;-0.14;2.70;4.44;-0.36;-5.27;-0.40;3.69;2.77;1.71;-0.62;-4.54
" ";" ";"79000 Rejsebureauer";11.52;8.52;-35.89;7.13;-1.39;-40.24;-5.74;21.34;18.23;-20.78;-11.30;15.96;-21.51
" ";" ";"80820 Rengøring og anden operationel service";1.97;6.75;-7.69;-0.99;-13.30;0.73;-2.60;0.84;0.50;1.25;-7.48;5.22;-2.08
" ";" ";"84202 Offentlig administration mv.";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"84101 Redningskorps mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85202 Undervisning, ikke-markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"85101 Voksenundervisning mv., markedsmæssig";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"86000 Sundhedsvæsen";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"87880 Sociale institutioner";..;..;..;..;..;..;..;..;..;..;..;..;..
" ";" ";"90920 Kunst, kultur og spil";7.69;13.97;-12.94;-5.97;8.17;-2.74;-2.97;-3.77;9.60;1.23;-3.23;0.10;-2.20
