DK;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016
Agriculture, forestry, fishing;0;0;0;0;0;0;0;0;0;9;43;54;60;73;78;82;88;94;95;103;105;97;69;61
Mining and quarrying;0;0;0;0;0;0;16;19;30;30;39;42;42;42;42;42;42;42;26;28;17;17;8;5
Food and beverages;0;0;0;7;13;15;26;40;73;91;119;133;155;234;335;388;444;508;564;613;643;752;825;958
Textiles;0;0;0;1;8;17;38;56;68;73;81;87;96;101;102;104;97;96;112;105;111;128;127;122
Wood and furniture;0;0;0;0;8;17;53;86;138;145;195;241;281;310;328;340;341;343;317;297;261;254;211;173
Paper;0;0;0;0;0;0;0;0;0;0;0;13;20;23;28;32;34;37;38;48;51;56;61;53
Plastic and chemical products;0;0;0;32;52;74;89;124;156;200;234;271;328;392;477;555;565;604;656;715;781;900;993;1123
Glass, ceramics, stone, mineral products (non-auto;0;0;0;0;0;0;0;0;0;0;0;0;7;23;41;89;102;112;119;124;146;153;165;173
Basic metals;0;0;0;5;16;41;41;41;61;61;61;64;83;99;118;130;125;108;114;135;131;146;156;156
Metal products (non-automotive);0;0;0;45;117;255;355;515;595;695;775;853;899;976;1084;1158;1167;1102;1043;926;901;852;806;768
Industrial machinery;0;0;0;14;17;17;30;45;90;122;138;6;26;72;148;208;239;305;391;458;474;491;574;602
Electrical/electronics;0;0;0;2;5;11;23;31;54;72;77;146;229;284;316;339;388;401;401;400;382;366;378;323
Automotive;0;0;0;1;1;1;1;10;10;10;10;16;27;29;73;93;108;126;128;158;171;181;190;199
Other vehicles;0;0;0;0;0;0;0;0;0;0;0;0;6;6;6;9;9;9;10;18;18;18;22;22
All other manufacturing branches;0;0;0;3;3;4;4;4;21;37;59;59;65;65;68;65;67;66;67;68;53;40;55;119
Electricity, gas, water supply;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;6;6
Construction;0;0;0;0;0;0;0;0;0;0;0;4;7;7;8;8;11;12;14;17;19;19;33;29
Education/research/development;0;0;0;0;0;3;7;19;24;24;26;26;38;48;51;52;54;69;70;69;69;71;69;72
All other non-manufacturing branches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;8
Unspecified;43454;49130;56945;60965;66394;70466;79959;89880;97257;103515;112390;189;154;91;73;73;74;79;144;238;377;560;707;936
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
FORDELINGER;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Agriculture, forestry, fishing;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0004;0,0251;0,0239;0,0250;0,0227;0,0215;0,0220;0,0226;0,0222;0,0235;0,0240;0,0213;0,0145;0,0123
Mining and quarrying;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0002;-0,0002;-0,0003;-0,0003;-0,0004;0,0195;0,0168;0,0144;0,0122;0,0110;0,0105;0,0101;0,0061;0,0064;0,0039;0,0037;0,0017;0,0010
Food and beverages;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0002;-0,0003;-0,0005;-0,0008;-0,0009;-0,0011;0,0618;0,0618;0,0801;0,0974;0,1016;0,1109;0,1223;0,1320;0,1401;0,1467;0,1649;0,1736;0,1924
Textiles;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0005;-0,0006;-0,0007;-0,0007;-0,0007;0,0404;0,0383;0,0346;0,0296;0,0272;0,0242;0,0231;0,0262;0,0240;0,0253;0,0281;0,0267;0,0245
Wood and furniture;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0007;-0,0010;-0,0014;-0,0014;-0,0018;0,1119;0,1121;0,1061;0,0953;0,0891;0,0852;0,0826;0,0742;0,0679;0,0595;0,0557;0,0444;0,0347
Paper;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0060;0,0080;0,0079;0,0081;0,0084;0,0085;0,0089;0,0089;0,0110;0,0116;0,0123;0,0128;0,0106
Plastic and chemical products;0,0000;0,0000;0,0000;-0,0005;-0,0008;-0,0011;-0,0011;-0,0014;-0,0016;-0,0020;-0,0021;0,1259;0,1308;0,1342;0,1386;0,1454;0,1412;0,1454;0,1535;0,1634;0,1782;0,1974;0,2090;0,2255
Glass, ceramics, stone, mineral products (non-auto;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0028;0,0079;0,0119;0,0233;0,0255;0,0270;0,0278;0,0283;0,0333;0,0336;0,0347;0,0347
Basic metals;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0006;-0,0005;-0,0005;-0,0006;-0,0006;-0,0006;0,0297;0,0331;0,0339;0,0343;0,0340;0,0312;0,0260;0,0267;0,0309;0,0299;0,0320;0,0328;0,0313
Metal products (non-automotive);0,0000;0,0000;0,0000;-0,0007;-0,0018;-0,0037;-0,0045;-0,0058;-0,0062;-0,0068;-0,0070;0,3962;0,3586;0,3340;0,3150;0,3033;0,2916;0,2652;0,2441;0,2117;0,2056;0,1869;0,1696;0,1542
Industrial machinery;0,0000;0,0000;0,0000;-0,0002;-0,0003;-0,0002;-0,0004;-0,0005;-0,0009;-0,0012;-0,0013;0,0028;0,0104;0,0246;0,0430;0,0545;0,0597;0,0734;0,0915;0,1047;0,1081;0,1077;0,1208;0,1209
Electrical/electronics;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0003;-0,0004;-0,0006;-0,0007;-0,0007;0,0678;0,0913;0,0972;0,0918;0,0888;0,0970;0,0965;0,0938;0,0914;0,0872;0,0803;0,0795;0,0649
Automotive;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0001;-0,0001;-0,0001;0,0074;0,0108;0,0099;0,0212;0,0244;0,0270;0,0303;0,0300;0,0361;0,0390;0,0397;0,0400;0,0400
Other vehicles;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0024;0,0021;0,0017;0,0024;0,0022;0,0022;0,0023;0,0041;0,0041;0,0039;0,0046;0,0044
All other manufacturing branches;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0001;0,0000;-0,0002;-0,0004;-0,0005;0,0274;0,0259;0,0222;0,0198;0,0170;0,0167;0,0159;0,0157;0,0155;0,0121;0,0088;0,0116;0,0239
Electricity, gas, water supply;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0005;0,0004;0,0013;0,0012
Construction;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0019;0,0028;0,0024;0,0023;0,0021;0,0027;0,0029;0,0033;0,0039;0,0043;0,0042;0,0069;0,0058
Education/research/development;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;-0,0001;-0,0002;-0,0003;-0,0002;-0,0002;0,0121;0,0152;0,0164;0,0148;0,0136;0,0135;0,0166;0,0164;0,0158;0,0157;0,0156;0,0145;0,0145
All other non-manufacturing branches;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0008;0,0016
;;;;;;;;;;;;;;;;;;;;;;;;
TILLÆG AF UDEFINERET;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Agriculture, forestry, fishing;0;0;0;0;0;0;0;0;0;-9,164043595;-43,8100116;4,740362285;3,685680096;2,273442847;1,654751526;1,567836564;1,627186407;1,787244284;3,201497777;5,6032;9,031485284;11,91489362;10,26578283;11,46736292
Mining and quarrying;0;0;0;0;0;0;-16,23739053;-19,30368729;-30,52828175;-30,54681198;-39,73466169;3,686948444;2,579976067;1,308008214;0,891020052;0,80303824;0,776611694;0,798555957;0,876199392;1,5232;1,462240475;2,088177232;1,19023569;0,939947781
Food and beverages;0;0;0;-7,08648146;-13,16336739;-15,21439984;-26,38575961;-40,63934167;-74,28548559;-92,65866302;-121,24166;11,67533674;9,521340247;7,287474333;7,106945655;7,41854374;8,209895052;9,658724428;19,0067868;33,3472;55,3070956;92,37113402;122,7430556;180,0939948
Textiles;0;0;0;-1,012354494;-8,100533781;-17,24298648;-38,56380251;-56,89507834;-69,19743863;-74,33057583;-82,52583581;7,637250348;5,897088153;3,145448323;2,163905841;1,988475642;1,793603198;1,825270758;3,774397379;5,712;9,547570157;15,72274622;18,89499158;22,93472585
Wood and furniture;0;0;0;0;-8,100533781;-17,24298648;-53,78635614;-87,37458459;-140,4300961;-147,6429246;-198,6733084;21,15606131;17,26126845;9,654346338;6,958442313;6,500785752;6,305347326;6,521540313;10,68289258;16,1568;22,44969199;31,19982452;31,39246633;32,52219321
Paper;0;0;0;0;0;0;0;0;0;0;0;1,141198328;1,228560032;0,716290212;0,594013368;0,611838659;0,628685657;0,703489771;1,280599111;2,6112;4,386721424;6,87870147;9,075547138;9,963446475
Plastic and chemical products;0;0;0;-32,39534382;-52,65346957;-75,05770587;-90,32048483;-125,9819592;-158,7470651;-203,6454132;-238,4079701;23,78959591;20,14838452;12,20807666;10,11944202;10,61157674;10,44727636;11,48399519;22,10718465;38,896;67,17704768;110,5505593;147,7380051;211,1122715
Glass, ceramics, stone, mineral products (non-auto;0;0;0;0;0;0;0;0;0;0;0;0;0,429996011;0,716290212;0,869805289;1,70167627;1,886056972;2,129482551;4,010297215;6,7456;12,55806525;18,79359509;24,54861111;32,52219321
Basic metals;0;0;0;-5,061772471;-16,20106756;-41,58602623;-41,60831324;-41,65532521;-62,07417289;-62,11185104;-62,14908623;5,618207153;5,098524132;3,083162218;2,503342052;2,485594552;2,311344328;2,053429603;3,841797332;7,344;11,26785307;17,9337574;23,20959596;29,32637076
Metal products (non-automotive);0;0;0;-45,55595224;-118,4703065;-258,6447973;-360,2671024;-523,231524;-605,477588;-707,667811;-789,5990463;74,88016721;55,22377343;30,39561944;22,99680325;22,14091147;21,57871064;20,95258724;35,14907559;50,3744;77,49874515;104,6545295;119,9162458;144,3759791
Industrial machinery;0;0;0;-14,17296292;-17,21363428;-17,24298648;-30,44510725;-45,71925938;-91,58484525;-124,2237021;-140,5995721;0,526706921;1,597128041;2,242299795;3,139784946;3,976951283;4,419290355;5,799037304;13,17669085;24,9152;40,770705;60,31147181;85,39941077;113,1697128
Electrical/electronics;0;0;0;-2,024708989;-5,062833613;-11,15722655;-23,34124889;-31,49548979;-54,95090715;-73,31234876;-78,45048589;12,81653507;14,06701237;8,844626968;6,703865155;6,481665794;7,174412794;7,624308063;13,51369062;21,76;32,8574036;44,95722746;56,23863636;60,72062663
Automotive;0;0;0;-1,012354494;-1,012566723;-1,014293323;-1,014836908;-10,15983542;-10,17609392;-10,18227066;-10,18837479;1,404551788;1,658556043;0,903148528;1,54867771;1,778156103;1,997001499;2,39566787;4,313597004;8,5952;14,70841889;22,23294582;28,26809764;37,40992167
Other vehicles;0;0;0;0;0;0;0;0;0;0;0;0;0,36856801;0,186858316;0,127288579;0,172079623;0,166416792;0,171119134;0,336999766;0,9792;1,54825462;2,211011187;3,273148148;4,135770235
All other manufacturing branches;0;0;0;-3,037063483;-3,037700168;-4,05717329;-4,059347633;-4,063934167;-21,36979723;-37,67440145;-60,11141127;5,179284719;3,992820104;2,024298426;1,442603894;1,242797276;1,23888056;1,254873646;2,257898432;3,6992;4,558749715;4,913358193;8,18287037;22,37075718
Electricity, gas, water supply;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,172028291;0,24566791;0,892676768;1,127937337
Construction;0;0;0;0;0;0;0;0;0;0;0;0,351137947;0,429996011;0,218001369;0,169718105;0,152959665;0,203398301;0,228158845;0,471799672;0,9248;1,634268766;2,333845141;4,909722222;5,451697128
Education/research/development;0;0;0;0;0;-3,042879968;-7,103858358;-19,30368729;-24,4226254;-24,43744959;-26,48977446;2,282396656;2,334264061;1,49486653;1,081952921;0,994237821;0,99850075;1,311913357;2,358998362;3,7536;5,934976044;8,721210792;10,26578283;13,53524804
All other non-manufacturing branches;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,595117845;1,503916449
TJEK;0;0;0;-111,3589944;-243,0160134;-461,5034618;-693,1336083;-1005,823706;-1343,244397;-1597,598267;-1891,981199;176,8857408;145,5229358;86,70225873;70,07236269;70,6291252;71,76261869;76,69939832;140,3604025;232,9408;372,871321;558,0346567;707;934,6840731
